20211119zaraLthrPnt07,lea_cow _42,Shell,100%
20211119zaraLthrPnt07,tex_visc_36,Lining,100%
20211119zaraLthrSkirt07,lea_cow _42,Shell,100%
20211119zaraLthrSkirt07,tex_visc_36,Lining,100%
20211119zaraWlShrlngCt07,tex_poly_25,Shell,71%
20211119zaraWlShrlngCt07,tex_acry_1,Shell,15%
20211119zaraWlShrlngCt07,tex_wool_40,Shell,14%
20211119zaraStDrss07,tex_visc_36,Shell,100%
20211119zaraStDrss07,tex_visc_36,Lining,100%
20211119zaraPtchwkDrss07,tex_wool_40,Shell,80%
20211119zaraPtchwkDrss07,tex_nylo_20,Shell,20%
20211119zaraWlBlzer07,tex_wool_40,Shell,78%
20211119zaraWlBlzer07,tex_nylo_20,Shell,20%
20211119zaraWlBlzer07,other,Shell,2%
20211119zaraWlBlzer07,tex_visc_36,Lining,100%
20211119zaraLthrPnt07,lea_cow _42,Shell,100%
20211119zaraLthrPnt07,tex_visc_36,Lining,100%
20211119zaraOffcrMt07,tex_wool_40,Shell,100%
20211119zaraOffcrMt07,tex_wool_40,Secondary fabric,80%
20211119zaraOffcrMt07,tex_nylo_20,Secondary fabric,20%
20211119zaraOffcrMt07,tex_visc_36,Lining,100%
20211119zaraPcktPnt07,tex_poly_25,Shell,66%
20211119zaraPcktPnt07,tex_visc_36,Shell,30%
20211119zaraPcktPnt07,tex_elas_10,Shell,4%
20211119zaraPtchKnt07,tex_wool_40,Shell,100%
20211119zaraPtchwkPnch07,tex_wool_40,Shell,80%
20211119zaraPtchwkPnch07,tex_nylo_20,Shell,20%
20211119zaraPtwckSwtr07,tex_wool_40,Shell,80%
20211119zaraPtwckSwtr07,tex_nylo_20,Shell,20%
20211119zaraMxLthrSkrt07,lea_cow _42,Shell,100%
20211119zaraMxLthrSkrt07,tex_poly_25,Secondary fabric,100%
20211119zaraSwtr04,tex_cott_6,Shell,100%
20211119zaraBlsPlSrpls,met_iron_74,Strap,100%
20211119zaraBlsPlSrpls,lea_cow _42,All,100%
20211119zaraBlsPlSrpls,tex_poly_25,Lining,100%
20211119zaraBtTcnCñSrpls,lea_cow _42,Upper,100%
20211119zaraBtTcnCñSrpls,lea_cow _42,Lining,90%
20211119zaraBtTcnCñSrpls,tex_poly_25,Lining,10%
20211119zaraBtTcnCñSrpls,rub_typi_96,Sole,100%
20211119zaraBtTcnCñSrpls,lea_cow _42,Lining and Insole,100%
20211119zaraMltryCt07,tex_wool_40,Shell,80%
20211119zaraMltryCt07,tex_nylo_20,Shell,20%
20211119zaraMltryCt07,tex_cott_6,All,100%
20211119zaraMltryCt07,tex_visc_36,Sleeve,100%
20211119zaraZpprLtrlPnt07,tex_cott_6,Shell,94%
20211119zaraZpprLtrlPnt07,other,Shell,4%
20211119zaraZpprLtrlPnt07,tex_elas_10,Shell,2%
20211119zaraZpprSlvSwtr07,tex_wool_40,Shell,100%
20211119zaraPtchwrkPnt07,tex_wool_40,Shell,39%
20211119zaraPtchwrkPnt07,tex_poly_25,Shell,33%
20211119zaraPtchwrkPnt07,tex_visc_36,Shell,14%
20211119zaraPtchwrkPnt07,tex_nylo_20,Shell,13%
20211119zaraPtchwrkPnt07,tex_elas_10,Shell,1%
20211119zaraWlShrt07,tex_wool_40,Shell,99%
20211119zaraWlShrt07,tex_elas_10,Shell,1%
20211119zaraVnckSwtr07,tex_wool_40,Shell,100%
20211119zaraZpprBlzr07,tex_flax_11,Shell,49%
20211119zaraZpprBlzr07,tex_wool_40,Shell,36%
20211119zaraZpprBlzr07,tex_cott_6,Shell,15%
20211119zaraZpprBlzr07,tex_cott_6,All,100%
20211119zaraZpprBlzr07,tex_visc_36,Sleeve,100%
20211119zaraMltryPrk07,tex_cott_6,Shell,99%
20211119zaraMltryPrk07,tex_elas_10,Shell,1%
20211119zaraNtrCnkSwtr07,tex_wool_40,Shell,100%
20211119zaraOffcrPnt07,tex_cott_6,Shell,100%
20211119zaraLngT-Shrt07,tex_visc_36,Shell,85%
20211119zaraLngT-Shrt07,tex_wool_40,Shell,15%
20211119zaraStrpTShrt07,tex_cott_6,All,Care
20211119zaraStrpTShrt07,tex_cott_6,Shell,100%
20211119zaraEyltTShirt07,tex_cott_6,Shell,100%
20211119zaraOffcrCt07,tex_poly_25,Other,100%
20211119zaraOffcrCt07,tex_wool_40,Shell,57%
20211119zaraOffcrCt07,tex_poly_25,Shell,42%
20211119zaraOffcrCt07,tex_nylo_20,Shell,1%
