,Name,Material,Color,Price,URL,Image,Brand_name,Description,Category
53,Long Sleeve Skivvy,{'Organic Cotton': '100%'},sage,"('AUD', '90')",https://abch.world/products/organic-cotton-long-sleeve-skivvy-sage,https://cdn.shopify.com/s/files/1/1637/8509/products/A14-LS-Sage-Skivvy-Front-2.jpg?v=1601520386,A.BCH,"['Drama club sans the drama. The A.14 is a fan favourite for its timeless appeal and flattering cut. The long sleeve skivvy is cosy with a relaxed fit and raw hems - perfect for layering. Made from our signature organic, softly structured rib in limited edition Sage.']",['skivvy']
54,Short Sleeve Skivvy,{'Organic Cotton': '100%'},sage,"('AUD', '85')",https://abch.world/products/organic-cotton-short-sleeve-skivvy-sage,https://cdn.shopify.com/s/files/1/1637/8509/products/A14-SS-Sage-Skivvy-Side-Cropped.jpg?v=1603785065,A.BCH,"['The A.14 is a fan favourite for its timeless appeal and flattering cut. The short sleeve skivvy is like an elevated tee with a relaxed fit and raw hems. Made from our signature organic, softly structured rib in limited edition Sage.']",['skivvy']
55,Tencel Lounge Dress,{'Lenzing Tencel': '100%'},black,"('AUD', '355')",https://abch.world/products/black-tencel-lounge-dress,https://cdn.shopify.com/s/files/1/1637/8509/products/A23-Tencel-Dress-FrontSML_041e9a7d-c26a-4ddf-8e86-a493c07a5f5f.jpg?v=1607925190,A.BCH,"['Our answer to the silk dress, the A.23 is made from plant-based Tencel and features a gentle sloped back hem, side splits and an optional belt. Layer it with trousers, wear it belted or loose and breezy for a balmy day/ night out.']",['dress']
56,Tencel Lounge Skirt,{'Lenzing Tencel': '100%'},black,"('AUD', '275')",https://abch.world/products/black-tencel-lounge-skirt,https://cdn.shopify.com/s/files/1/1637/8509/products/A14-SS-Black-Skivvy_A22-Tencel-Skirt-Front-2SML.jpg?v=1601516480,portrait-large,"[""The skirt that will take you from day to night. A dramatic elliptical hemline and a plant-based silk-like handle, this skirt speaks volumes. We've made it with an elastic waistband (biodegradable of course) and pockets. It's light, breathable and perfect for warmer climates, or layer it up in winter for a cosier look. Worn with the A.14 Skivvy.""]",['skirt']
57,Bolt Plaid Skirt,{'Organic Cotton': '100%'},grey/black plaid,"('AUD', '355')",https://abch.world/products/unisex-bolt-plaid-apron-skirt-black,https://cdn.shopify.com/s/files/1/1637/8509/products/A25-Bolt-Plaid-Skirt-Mens-LR.jpg?v=1601515762,portrait-large,"['Our limited edition take on a unisex skirt, made to be worn over pants (or not). The design honours Japanese plaid fabrication, featuring deep box pleats at the front, darts in the back, fastened with a fitted double corozo button waistband. The two overlapping side splits make this apron-esque skirt both a statement and a staple.']",['skirt']
58,Tencel Lounge Shorts,{'Lenzing Tencel': '100%'},black,"('AUD', '220')",https://abch.world/products/black-tencel-lounge-tie-shorts,https://cdn.shopify.com/s/files/1/1637/8509/products/A21-Tencel-Lounge-Shorts-Back_a4f14c0a-70c5-4983-a607-7640f6e98837.jpg?v=1601516575,A.BCH,"['The A.21 shorts are made entirely in-house by the A.BCH team at our HQ in Victoria. Our in-house cutters and tailors plot the pattern with minimal offcuts, then cut, construct, press and trim. The piece is accredited by Ethical Clothing Australia. This is piece is eligible for customisation, so if you need a different length or waist measurement, please get in touch.']",['shorts']
59,Button Up Linen Skirt,{'Organic Linen': '100%'},white,"('AUD', '275')",https://abch.world/products/womens-white-organic-linen-button-skirt,https://cdn.shopify.com/s/files/1/1637/8509/products/A14-NS-Undyed-Skivvy_A20-Skirt-Front-2SML.jpg?v=1601516645,A.BCH,"['Organic linen, a-line midi skirt with corozo button-up placket in the front for desired levels of breeziness and creative control. Semi elasticated (and fully bio-degradable) tailored waistband, plus pockets.']",['skirt']
60,Linen Tie Shirt,{'Organic Linen': '100%'},white,"('AUD', '195')",https://abch.world/products/womens-white-organic-linen-tie-top,https://cdn.shopify.com/s/files/1/1637/8509/products/A19-Linen-Crop-Tie-Shirt-front-crop.jpg?v=1601516730,A.BCH,"['Smart, sleeveless and savvy, an organic linen button-up for the summertime minimalist. Featuring hidden placket in the front and tie in the back. Cropped length sits well with higher waisted bottoms.']",['shirt']
61,Semi-Tailored Linen Trousers,{'Organic Linen': '100%'},undyed,"('AUD', '315')",https://abch.world/products/mens-flax-semi-tailored-trouser,https://cdn.shopify.com/s/files/1/1637/8509/products/A18-MSemi-Tailored-Trouser-Front-crop.jpg?v=1601516789,A.BCH,"['Tailored linen trouser with pleats (the party) in the front, and a biodegradable elastic waist (the business) in the back. Featuring a natural corozo button-down fly atop a tapered leg, the flax colour is unbleached, un-dyed and almost unbelievable. Almost.']",['trousers']
62,Semi-Tailored Linen Trousers,{'Organic Linen': '100%'},undyed,"('AUD', '315')",https://abch.world/products/unisex-flax-semi-tailored-trouser,https://cdn.shopify.com/s/files/1/1637/8509/products/A18-Semi-Tailored-Trouser-Front-cropped.jpg?v=1601516859,portrait-large,"['Tailored linen trouser with pleats (the party) in the front, and a biodegradable elastic waist (the business) in the back. Featuring pockets, belt loops and a natural corozo button-down fly atop a slightly tapered leg. The flax colour is unbleached, undyed and almost unbelievable. Almost.']",['trousers']
