high_level,low_level,part,component_significance,component_value_percentage
hoodies,Hoodies,Faux Fur,Tertiary,10%
hoodies,Hoodies,Upper,Secondary,50%
hoodies,Hoodies,Hood,Tertiary,15%
hoodies,Hoodies,Coating,Tertiary,5%
hoodies,Hoodies,Elastic Section,Tertiary,5%
hoodies,Hoodies,Lining,Tertiary,30%
hoodies,Hoodies,Pocket Lining,Tertiary,5%
hoodies,Hoodies,Hood Lining,Tertiary,10%
hoodies,Hoodies,All,Main,100%
hoodies,Hoodies,Reverse,Secondary,50%
hoodies,Hoodies,Strap,Tertiary,0%
hoodies,Hoodies,Obverse,Secondary,50%
hoodies,Hoodies,Secondary fabric,Tertiary,10%
sweatshirts,Sweatshirts,Lace,Tertiary,10%
sweatshirts,Sweatshirts,Neck Lining,Tertiary,5%
sweatshirts,Sweatshirts,Embroidery,Tertiary,5%
sweatshirts,Sweatshirts,Details,Tertiary,5%
sweatshirts,Sweatshirts,Collar,Tertiary,10%
sweatshirts,Sweatshirts,Cuff,Tertiary,5%
sweatshirts,Sweatshirts,Lower,Secondary,50%
sweatshirts,Sweatshirts,Sleeve,Tertiary,20%
sweatshirts,Sweatshirts,Padding,Tertiary,20%
sweatshirts,Sweatshirts,Shell,Main,100%
sweatshirts,Sweatshirts,Waist,Tertiary,10%
sweatshirts,Sweatshirts,Faux Fur,Tertiary,10%
sweatshirts,Sweatshirts,Upper,Secondary,50%
sweatshirts,Sweatshirts,Hood,Tertiary,0%
sweatshirts,Sweatshirts,Coating,Tertiary,5%
sweatshirts,Sweatshirts,Elastic Section,Tertiary,5%
sweatshirts,Sweatshirts,Lining,Tertiary,30%
sweatshirts,Sweatshirts,Pocket Lining,Tertiary,5%
sweatshirts,Sweatshirts,Hood Lining,Tertiary,0%
sweatshirts,Sweatshirts,All,Main,100%
sweatshirts,Sweatshirts,Reverse,Secondary,50%
sweatshirts,Sweatshirts,Strap,Tertiary,0%
sweatshirts,Sweatshirts,Obverse,Secondary,50%
sweatshirts,Sweatshirts,Secondary fabric,Tertiary,10%
shorts,Shorts,Front,Secondary,50%
shorts,Shorts,Embroidery,Tertiary,5%
shorts,Shorts,Back,Secondary,50%
shorts,Shorts,Lower,Secondary,50%
shorts,Shorts,Pocket Lining,Tertiary,5%
shorts,Shorts,Padding,Tertiary,20%
shorts,Shorts,Shell,Main,100%
shorts,Shorts,Waist,Tertiary,10%
shorts,Shorts,Details,Tertiary,5%
shorts,Shorts,Lace,Tertiary,5%
shorts,Shorts,Coating,Tertiary,5%
shorts,Shorts,Panels,Tertiary,20%
shorts,Shorts,Gusset Lining,Tertiary,5%
shorts,Shorts,Inner Layer,Tertiary,30%
shorts,Shorts,Elastic Section,Tertiary,5%
shorts,Shorts,Lining,Tertiary,30%
shorts,Shorts,Mesh,Tertiary,5%
shorts,Shorts,All,Main,100%
shorts,Shorts,Reverse,Secondary,50%
shorts,Shorts,Strap,Tertiary,0%
shorts,Shorts,Obverse,Secondary,50%
shorts,Shorts,Secondary fabric,Tertiary,10%
skirts,Skirts,Lace,Tertiary,10%
skirts,Skirts,Embroidery,Tertiary,10%
skirts,Skirts,Other,Tertiary,1%
skirts,Skirts,Lower,Secondary,50%
skirts,Skirts,Pocket Lining,Tertiary,5%
skirts,Skirts,Shell,Main,100%
skirts,Skirts,Waist,Tertiary,10%
skirts,Skirts,Upper,Secondary,50%
skirts,Skirts,Coating,Tertiary,5%
skirts,Skirts,Details,Tertiary,5%
skirts,Skirts,Elastic Section,Tertiary,5%
skirts,Skirts,Lining,Tertiary,30%
skirts,Skirts,Mesh,Tertiary,5%
skirts,Skirts,All,Main,100%
skirts,Skirts,Reverse,Secondary,50%
shirts,Skirts,Strap,Tertiary,0%
skirts,Skirts,Obverse,Secondary,50%
skirts,Skirts,Secondary fabric,Tertiary,10%
pants,Casual Pants,Lace,Tertiary,10%
pants,Casual Pants,Embroidery,Tertiary,10%
pants,Casual Pants,Belt,Tertiary,10%
pants,Casual Pants,Pocket Lining,Tertiary,5%
pants,Casual Pants,Padding,Tertiary,20%
pants,Casual Pants,Shell,Main,100%
pants,Casual Pants,Waist,Tertiary,10%
pants,Casual Pants,Panels,Tertiary,20%
pants,Casual Pants,Coating,Tertiary,5%
