,Unnamed: 0,index,Name,Price,URL,Colors,Image,Materials,Description,Brand_name,high-level,category
20,20,20,SAN DIEGO BECAUSE SWEATSHIRT MAN,£89.90,https://ecoalf.com/en/sweaters/2020347-20766-san-diego-because-sweatshirt-man#/4-talla-xs,"['offwhite', 'koreangreen', 'navy', 'burnedorange']",https://ecoalf.com/15971-large_default/san-diego-because-sweatshirt-man.jpg,"['50% Recycled Cotton ', ' 50% Organic Cotton']","Men’s sweatshirt with a basic design but with the text ""Because there is no Planet B"" on the front.",Ecoalf,1,1
21,21,21,SAN DIEGO PATCHLABEL SWEATSHIRT MAN,£89.90,https://ecoalf.com/en/sweaters/2020353-20802-san-diego-patchlabel-sweatshirt-man#/4-talla-xs,"['khaki', 'navy', 'red', 'caviar']",https://ecoalf.com/16293-large_default/san-diego-patchlabel-sweatshirt-man.jpg,"['50% Recycled Cotton ', ' 50% Organic Cotton']",Men’s sweatshirt with a basic design but with text on the front part.,Ecoalf,1,1
22,22,22,SAN DIEGO PRINT BACK SWEATSHIRT MAN,£89.90,https://ecoalf.com/en/sweaters/2020358-20832-san-diego-print-back-sweatshirt-man#/4-talla-xs,"['navy', 'mustard', 'brick', 'burnedorange', 'caviar']",https://ecoalf.com/16241-large_default/san-diego-print-back-sweatshirt-man.jpg,"['50% Recycled cotton ', ' 50% Organic cotton']",Men's sweatshirt with a basic design and crew neck. Made with recycled cotton and organic cotton.,Ecoalf,1,1
23,23,23,STEVE PRINT BACK HOODIE MAN,£109.90,https://ecoalf.com/en/sweaters/2020364-20866-steve-print-back-hoodie-man#/4-talla-xs,"['khaki', 'navy', 'burnedorange', 'caviar']",https://ecoalf.com/15929-large_default/steve-print-back-hoodie-man.jpg,"['50% Recycled Cotton ', ' 50% Organic Cotton']","The Steve sweatshirt has a hood, zip closure and kangaroo pockets. Made with recycled cotton and organic cotton.",Ecoalf,2,3
24,24,24,ASP JACKET MAN,£199.90,https://ecoalf.com/en/jackets-and-coats/2020072-19223-asp-jacket-man#/1-talla-s,"['koreangreen', 'olive', 'navy', 'deepnavy', 'brightyellow', 'burnedorange', 'red', 'caviar', 'black']",https://ecoalf.com/17346-large_default/asp-jacket-man.jpg,['100% Recycled polyester'],"The Asp jacket, with hood and zip closure, is warm as well as sustainable. Made with recycled polyester and padded with recycled polyester, feather and down.",Ecoalf,5,11
25,25,25,BERNA JACKET,£209.90,https://ecoalf.com/en/jackets-and-coats/2020101-19388-berna-sweat-tech-jacket#/1-talla-s,"['koreangreen', 'deepnavy', 'burnedorange', 'caviar']",https://ecoalf.com/16704-large_default/berna-sweat-tech-jacket.jpg,"['59% Recycled polyester ', ' 41% Sorona®']","Short men’s jacket, with zip closure, hood and side pockets with zip. Made with recycled polyester and Sorona®.",Ecoalf,5,11
26,26,26,CARDIFF VEST MAN,£159.90,https://ecoalf.com/en/vests/2020106-19413-cardiff-vest-man#/1-talla-s,"['koreangreen', 'olive', 'deepnavy', 'peacockblue', 'brightyellow', 'brick', 'black']",https://ecoalf.com/16114-large_default/cardiff-vest-man.jpg,['100% Recycled polyester'],"Extremely light gilet with neck and tight padding, 100% made from recycled polyester.",Ecoalf,5,11
27,27,27,JAPAN TECHNICAL JACKET,£379.90,https://ecoalf.com/en/jackets-and-coats/2020154-19683-japan-technical-jacket#/1-talla-s,"['deepnavy', 'black']",https://ecoalf.com/17354-large_default/japan-technical-jacket.jpg,['100% Recycled polyester'],"Waterproof technical jacket with adjustable drawstring hood, zip closure and side pockets. Made with recycled plastic bottles.",Ecoalf,5,11
28,28,28,PARIS SAIL SHORT JACKET,£299.90,https://ecoalf.com/en/jackets-and-coats/2020187-19867-paris-sail-short-jacket#/1-talla-s,"['koreangreen', 'deepnavy', 'brick']",https://ecoalf.com/16185-large_default/paris-sail-short-jacket.jpg,"['59% Recycled polyester ', ' 41% Sorona®']","Men’s jacket with adjustable hood, zip closure, side and front pockets, adjustable cuffs with velcro. Made with recycled plastic bottles and Sorona®.",Ecoalf,3,4
29,29,29,SAMOENS JACKET MAN,£489.90,https://ecoalf.com/en/jackets-and-coats/2020199-19932-samoens-jacket-man#/4-talla-xs,"['khaki', 'deepnavy', 'black']",https://ecoalf.com/16641-large_default/samoens-jacket-man.jpg,"['59% Recycled polyester ', ' 41% Sorona®']","Jacket with high neck, zip closure, hood and front and side pockets. Made with recycled polyester and Sorona®.",Ecoalf,5,11
30,30,30,CHARLES KNIT SWEATER MAN,£109.90,https://ecoalf.com/en/knitwear/2020238-20148-charles-knit-sweater-man#/1-talla-s,"['black', 'khaki', 'red']",https://ecoalf.com/16127-large_default/charles-knit-sweater-man.jpg,"['95% Organic cotton ', ' 5% Cashmere']",Men’s jersey with contrast on the shoulders and crew neck. Made with organic cotton and cashmere. Extra soft texture.,Ecoalf,2,2
31,31,31,CHELSEA SWEATER MAN,£159.90,https://ecoalf.com/en/knitwear/2020246-20188-chelsea-sweater-man#/1-talla-s,['midnightnavy'],https://ecoalf.com/17390-large_default/chelsea-sweater-man.jpg,"['70% Sorona® ', ' 30% Recycled polyester']","Men’s sweatshirt designed with double fabric, which is water repellent on the top part. Adjustable drawstring hood, high neck, zip closure and side pockets. Made with recycled materials and other sustainable materials.",Ecoalf,2,2
32,32,32,HARRY SWEATER MAN,£159.90,https://ecoalf.com/en/knitwear/2020251-20213-harry-sweater-man#/1-talla-s,"['midnightnavy', 'black']",https://ecoalf.com/17696-large_default/harry-sweater-man.jpg,"['70% Sorona® ', ' 30% Recycled polyester']","Men’s jacket with double fabric, zip closure, high neck and side pockets. Made with recycled materials and other sustainable materials.",Ecoalf,2,2
33,33,33,JAMES KNIT SWEATER MAN,£109.90,https://ecoalf.com/en/knitwear/2020254-20228-james-knit-sweater-man#/1-talla-s,['greymelange'],https://ecoalf.com/16260-large_default/james-knit-sweater-man.jpg,"['95% Organic cotton ', ' 5% Cashmere']","Men’s jersey with contrast on the shoulders and V-neck. Made with organic cotton, cashmere, recycled polyester and Sorona®. Extra soft texture.",Ecoalf,2,2
34,34,34,BINJARI CHINO MAN,£109.90,https://ecoalf.com/en/pants/2020268-20326-binjari-chino-man#/37-talla-28,"['beige', 'khaki', 'navy', 'caviar']",https://ecoalf.com/16192-large_default/binjari-chino-man.jpg,"['97% Organic Cotton ', ' 3% Elastane']","Binjari are classic chino trousers, made from organic cotton and elastane.",Ecoalf,0,0
